Pumpen_ID;Bearbeitungstemperatur_C;Montagezeit_Min;Drehmoment_Nm;Maschinenlaufzeit_Min;Mitarbeitererfahrung_Jahre;Nacharbeit_vor_Pruefung
P0494;74.2;32.2;43.6;45.7;1.2;Nein
P0495;74.0;44.0;51.5;52.5;10.7;Nein
P0496;72.6;52.1;67.2;66.1;9.4;Nein
P0497;68.4;42.3;55.1;56.2;10.9;Nein
P0498;74.3;51.5;62.9;64.2;4.0;Nein
P0499;66.7;35.5;38.9;43.5;2.4;Nein
P0500;67.2;32.4;40.5;46.0;9.9;Nein
P0501;70.5;41.0;38.4;56.4;2.6;Nein
P0502;71.3;50.3;43.9;50.7;1.5;Nein
P0503;65.2;60.1;42.9;79.6;7.6;Nein
P0504;74.3;57.8;53.5;53.2;1.8;Nein
P0505;73.4;36.8;58.4;69.2;5.2;Nein
P0506;77.8;39.4;52.4;64.6;9.0;Nein
P0507;71.1;51.9;48.4;61.0;7.7;Ja
P0508;76.6;37.4;59.4;60.6;8.7;Nein
P0509;70.3;32.6;58.5;54.1;7.5;Nein
P0510;69.2;35.7;55.7;71.4;8.9;Nein
P0511;68.1;40.0;40.4;60.8;1.6;Nein
P0512;68.2;55.4;54.3;55.2;10.4;Nein
P0513;71.4;38.7;62.0;74.9;5.9;Nein
P0514;77.9;50.2;51.6;63.1;10.7;Nein
P0515;70.3;34.5;51.5;48.4;4.0;Nein
P0516;71.5;36.1;56.0;50.2;10.8;Nein
P0517;65.5;35.2;48.6;52.0;4.9;Nein
P0518;75.9;38.4;59.4;57.4;5.7;Nein
P0519;79.4;46.1;57.8;37.6;8.0;Nein
P0520;78.6;36.0;59.6;56.3;8.7;Nein
P0521;72.2;62.7;72.0;51.8;6.4;Nein
P0522;72.7;33.2;48.3;82.0;5.8;Nein
P0523;71.3;32.0;34.5;72.2;7.8;Nein
P0524;74.7;55.6;49.1;46.4;1.6;Nein
P0525;74.5;38.0;56.7;51.4;8.8;Nein
P0526;74.4;35.4;41.7;52.3;4.8;Nein
P0527;75.3;43.5;36.8;59.7;9.6;Nein
P0528;68.9;40.8;44.1;59.2;1.0;Nein
P0529;75.2;47.3;57.7;49.8;6.1;Nein
P0530;74.5;40.2;46.9;61.4;3.6;Nein
P0531;71.9;45.9;45.1;55.3;3.9;Nein
P0532;78.5;37.6;50.1;33.0;4.8;Nein
P0533;76.9;52.1;61.0;55.6;3.2;Nein
P0534;74.0;55.5;55.9;55.9;7.1;Nein
P0535;73.3;61.6;60.1;57.9;5.8;Nein
P0536;77.5;48.8;51.0;56.0;4.5;Nein
P0537;69.2;54.6;72.0;62.5;8.5;Nein
P0538;71.6;32.6;39.8;39.0;6.7;Nein
P0539;68.3;54.8;64.5;56.3;7.8;Nein
P0540;70.9;55.7;67.8;58.8;2.3;Nein
P0541;67.3;53.0;61.2;71.7;8.4;Nein
P0542;69.6;63.4;51.3;51.4;1.8;Nein
P0543;76.0;38.1;33.5;55.7;5.4;Nein
P0544;70.1;41.3;72.0;59.9;4.7;Nein
P0545;71.1;50.6;59.2;56.3;4.2;Nein
P0546;73.1;42.3;39.1;62.3;4.8;Nein
P0547;77.1;52.2;55.4;68.5;4.7;Nein
P0548;74.8;49.8;63.7;61.4;6.9;Nein
P0549;73.8;48.2;44.3;56.3;5.0;Nein
P0550;67.3;57.6;51.9;76.6;2.9;Nein
P0551;68.4;55.9;59.2;73.3;6.4;Nein
P0552;68.4;42.3;43.8;45.0;4.0;Nein
P0553;75.5;42.6;39.7;51.9;6.7;Nein
P0554;74.2;39.6;57.1;45.3;6.2;Nein
P0555;68.6;49.5;50.4;51.4;7.3;Nein
P0556;73.2;29.6;57.7;81.0;8.6;Nein
P0557;79.9;47.6;39.1;51.1;3.1;Nein
P0558;76.2;48.0;57.2;36.3;7.2;Ja
P0559;69.1;46.4;52.2;49.5;3.6;Nein
P0560;63.1;52.4;67.9;66.7;4.0;Nein
P0561;73.9;45.2;68.8;48.2;7.4;Nein
P0562;67.0;35.9;55.5;55.7;5.0;Nein
P0563;73.8;47.3;53.2;39.2;9.7;Nein
P0564;73.0;39.8;61.3;73.3;1.9;Nein
P0565;81.1;48.5;54.6;61.9;1.3;Nein
P0566;75.7;44.1;46.5;54.2;4.7;Nein
P0567;73.7;51.2;57.7;70.1;5.0;Nein
P0568;77.4;33.2;59.0;62.6;8.3;Nein
P0569;70.3;45.7;52.2;61.2;8.3;Nein
P0570;67.0;44.1;49.9;58.5;6.1;Nein
P0571;76.2;35.4;34.4;55.7;6.2;Nein
P0572;74.1;56.0;36.1;70.1;5.2;Nein
P0573;80.5;40.6;53.9;68.0;6.8;Nein
P0574;68.0;47.9;65.1;45.0;6.2;Nein
P0575;77.8;57.5;49.4;48.4;10.0;Nein
P0576;72.4;44.7;54.1;45.8;10.9;Nein
P0577;75.4;52.6;65.3;53.6;6.7;Nein
P0578;75.5;69.4;43.6;58.8;7.9;Nein
P0579;77.7;48.4;42.9;60.4;4.4;Nein
P0580;65.4;36.4;52.3;50.1;6.4;Nein
P0581;68.7;48.6;70.4;61.6;6.7;Nein
P0582;78.7;36.8;59.6;61.2;10.5;Nein
P0583;77.4;41.5;47.9;45.7;8.0;Ja
P0584;82.5;64.9;51.4;55.7;4.9;Nein
P0585;68.3;49.5;49.2;52.7;1.3;Nein
P0586;72.8;42.4;47.5;55.1;10.9;Nein
P0587;73.6;41.7;46.9;42.9;2.8;Nein
P0588;72.8;47.9;54.3;58.6;7.6;Nein
P0589;69.0;52.4;39.1;57.1;2.2;Nein
P0590;65.3;25.0;47.6;72.5;4.6;Nein
P0591;75.0;64.7;50.5;51.1;9.4;Nein
P0592;79.1;45.7;55.0;73.6;4.4;Nein
P0593;71.4;32.0;56.5;79.4;2.0;Nein
P0594;74.1;38.6;41.4;69.9;4.8;Nein
P0595;70.7;39.0;50.9;59.5;2.7;Nein
P0596;65.1;46.5;66.9;57.9;5.2;Nein
P0597;71.3;46.7;51.5;56.6;2.0;Nein
P0598;68.4;44.5;50.7;66.5;1.0;Nein
P0599;71.7;42.3;57.7;63.7;7.4;Nein
P0600;69.0;35.9;68.3;49.9;4.7;Nein
