Pumpen_ID;Pruefdruck_bar;Dichtheitsverlust_bar;Vibration_mm_s;Pruefergebnis;Fehlerart;Ausschusskosten_EUR
P0403;10.24;0.09;3.27;Bestanden;Kein Fehler;0.0
P0404;10.94;0.16;2.5;Bestanden;Kein Fehler;0.0
P0405;10.96;0.08;2.39;Bestanden;Kein Fehler;0.0
P0406;9.91;0.05;2.39;Bestanden;Kein Fehler;0.0
P0407;10.43;0.02;3.12;Bestanden;Kein Fehler;0.0
P0408;10.29;0.05;3.14;Bestanden;Kein Fehler;0.0
P0409;10.16;0.11;3.17;Bestanden;Kein Fehler;0.0
P0410;10.96;0.22;3.01;Bestanden;Kein Fehler;0.0
P0411;10.66;0.06;1.61;Bestanden;Kein Fehler;0.0
P0412;10.36;0.2;3.62;Bestanden;Kein Fehler;0.0
P0413;10.99;0.11;2.5;Bestanden;Kein Fehler;0.0
P0414;10.37;0.21;2.44;Bestanden;Kein Fehler;0.0
P0415;10.52;0.16;2.53;Bestanden;Kein Fehler;0.0
P0416;10.69;0.06;2.92;Bestanden;Kein Fehler;0.0
P0417;8.94;0.39;2.9;Ausschuss;Undichtigkeit;2956.65
P0418;9.63;0.09;3.47;Bestanden;Kein Fehler;0.0
P0419;10.18;0.2;2.36;Bestanden;Kein Fehler;0.0
P0420;9.39;0.31;1.73;Ausschuss;Unzureichender Prüfdruck;3050.87
P0421;9.63;0.07;3.13;Bestanden;Kein Fehler;0.0
P0422;10.8;0.1;1.81;Bestanden;Kein Fehler;0.0
P0423;8.46;0;5.87;Ausschuss;Unzureichender Prüfdruck;2645.28
P0424;10.04;0.19;2.7;Bestanden;Kein Fehler;0.0
P0425;10.26;0.19;3.84;Bestanden;Kein Fehler;0.0
P0426;10.47;0.1;2.08;Bestanden;Kein Fehler;0.0
P0427;11.44;0.19;2.66;Bestanden;Kein Fehler;0.0
P0428;10.87;0.13;3.02;Bestanden;Kein Fehler;0.0
P0429;11.15;0.08;2.61;Bestanden;Kein Fehler;0.0
P0430;10.3;0.17;3.77;Bestanden;Kein Fehler;0.0
P0431;10.66;0.06;3.02;Bestanden;Kein Fehler;0.0
P0432;10.39;0.19;2.46;Bestanden;Kein Fehler;0.0
P0433;10.98;0.18;2.41;Bestanden;Kein Fehler;0.0
P0434;10.0;0.18;2.99;Bestanden;Kein Fehler;0.0
P0435;10.68;0.09;2.19;Bestanden;Kein Fehler;0.0
P0436;11.28;0.21;2.58;Bestanden;Kein Fehler;0.0
P0437;10.76;0.1;2.73;Bestanden;Kein Fehler;0.0
P0438;10.6;0.08;3.17;Bestanden;Kein Fehler;0.0
P0439;10.55;0.15;2.11;Bestanden;Kein Fehler;0.0
P0440;9.76;0.31;6.66;Ausschuss;Erhöhte Vibration;1503.47
P0441;11.03;0;3.1;Bestanden;Kein Fehler;0.0
P0442;10.32;0.18;2.8;Bestanden;Kein Fehler;0.0
P0443;10.3;0.13;1.69;Bestanden;Kein Fehler;0.0
P0444;10.32;0.03;1.98;Bestanden;Kein Fehler;0.0
P0445;10.47;0.1;3.11;Bestanden;Kein Fehler;0.0
P0446;10.07;0.12;2.12;Bestanden;Kein Fehler;0.0
P0447;10.08;0.36;5.73;Nacharbeit;Erhöhte Vibration;152.58
P0448;10.96;0.11;2.24;Bestanden;Kein Fehler;0.0
P0449;10.17;0.06;1.9;Bestanden;Kein Fehler;0.0
P0450;10.59;0.12;3.81;Ausschuss;Materialfehler;3063.8
P0451;9.72;0.28;7.45;Ausschuss;Erhöhte Vibration;2412.14
P0452;10.03;0.36;5.62;Nacharbeit;Unzureichender Prüfdruck;360.78
P0453;10.21;0.06;2.81;Bestanden;Kein Fehler;0.0
P0454;9.64;0.02;2.98;Bestanden;Kein Fehler;0.0
P0455;11.5;0.13;2.45;Bestanden;Kein Fehler;0.0
P0456;10.16;0.2;2.14;Bestanden;Kein Fehler;0.0
P0457;11.22;0.13;3.45;Bestanden;Kein Fehler;0.0
P0458;9.94;0.15;3.64;Bestanden;Kein Fehler;0.0
P0459;10.59;0.17;2.34;Bestanden;Kein Fehler;0.0
P0460;10.63;0.11;3.2;Bestanden;Kein Fehler;0.0
P0461;10.65;0.24;2.3;Bestanden;Kein Fehler;0.0
P0462;10.79;0.16;2.46;Bestanden;Kein Fehler;0.0
P0463;11.63;0.13;2.01;Bestanden;Kein Fehler;0.0
P0464;10.57;0.07;3.54;Bestanden;Kein Fehler;0.0
P0465;10.37;0.17;2.65;Bestanden;Kein Fehler;0.0
P0466;10.45;0.19;2.81;Bestanden;Kein Fehler;0.0
P0467;10.55;0.09;2.26;Bestanden;Kein Fehler;0.0
P0468;10.54;0.11;2.39;Bestanden;Kein Fehler;0.0
P0469;10.09;0.44;4.0;Nacharbeit;Undichtigkeit;222.7
P0470;10.01;0.28;3.05;Bestanden;Kein Fehler;0.0
P0471;11.1;0.06;2.93;Bestanden;Kein Fehler;0.0
P0472;10.46;0.1;2.92;Bestanden;Kein Fehler;0.0
P0473;10.79;0.11;2.98;Bestanden;Kein Fehler;0.0
P0474;10.54;0.15;2.93;Bestanden;Kein Fehler;0.0
P0475;10.93;0.12;2.72;Bestanden;Kein Fehler;0.0
P0476;10.3;0.33;5.22;Nacharbeit;Montagefehler;457.8
P0477;10.31;0.13;2.44;Bestanden;Kein Fehler;0.0
P0478;10.13;0.21;2.18;Bestanden;Kein Fehler;0.0
P0479;10.63;0.16;2.92;Bestanden;Kein Fehler;0.0
P0480;10.78;0.13;2.87;Bestanden;Kein Fehler;0.0
P0481;10.03;0.13;2.92;Bestanden;Kein Fehler;0.0
P0482;11.32;0.33;2.48;Bestanden;Kein Fehler;0.0
P0483;8.37;0.33;5.15;Ausschuss;Unzureichender Prüfdruck;2952.93
P0484;10.62;0.12;1.86;Bestanden;Kein Fehler;0.0
P0485;10.92;0.65;5.91;Ausschuss;Undichtigkeit;1929.34
P0486;10.98;0.06;3.13;Bestanden;Kein Fehler;0.0
P0487;10.05;0.14;2.67;Bestanden;Kein Fehler;0.0
P0488;8.98;0.11;1.37;Bestanden;Kein Fehler;0.0
P0489;10.43;0.11;2.36;Bestanden;Kein Fehler;0.0
P0490;10.33;0.15;2.87;Bestanden;Kein Fehler;0.0
P0491;9.14;0.34;3.73;Ausschuss;Montagefehler;3376.86
P0492;10.7;0.14;2.62;Bestanden;Kein Fehler;0.0
P0493;10.52;0.42;5.75;Nacharbeit;Unzureichender Prüfdruck;337.76
P0494;10.79;0.19;2.48;Bestanden;Kein Fehler;0.0
P0495;10.01;0.12;2.27;Bestanden;Kein Fehler;0.0
P0496;10.07;0.15;3.57;Bestanden;Kein Fehler;0.0
P0497;9.93;0.16;3.23;Bestanden;Kein Fehler;0.0
P0498;10.05;0.13;2.97;Bestanden;Kein Fehler;0.0
P0499;10.69;0.16;2.05;Bestanden;Kein Fehler;0.0
P0500;10.64;0.18;1.78;Bestanden;Kein Fehler;0.0
P0501;10.20;0.10;2.00;Bestanden;Kein Fehler;0.0
P0502;10.77;0.12;2.79;Bestanden;Kein Fehler;0.0
P0503;11.02;0.11;1.98;Bestanden;Kein Fehler;0.0
P0504;10.50;0.16;2.19;Bestanden;Kein Fehler;0.0
P0505;9.79;0.08;2.55;Nacharbeit;Montagefehler;218.32
P0506;10.81;0.16;2.01;Bestanden;Kein Fehler;0.0
P0507;10.65;0.09;2.21;Bestanden;Kein Fehler;0.0
P0508;10.51;0.07;2.67;Bestanden;Kein Fehler;0.0
P0509;10.19;0.32;4.83;Nacharbeit;Erhöhte Vibration;405.06
P0510;9.66;0.50;3.06;Nacharbeit;Undichtigkeit;478.56
P0511;10.48;0.13;2.99;Bestanden;Kein Fehler;0.0
P0512;10.31;0.13;2.65;Bestanden;Kein Fehler;0.0
P0513;10.79;0.00;2.57;Bestanden;Kein Fehler;0.0
P0514;9.86;0.47;6.58;Ausschuss;Erhöhte Vibration;1550.00
P0515;9.42;0.31;6.22;Ausschuss;Erhöhte Vibration;2005.51
P0516;10.88;0.13;3.05;Bestanden;Kein Fehler;0.0
P0517;10.42;0.24;2.80;Bestanden;Kein Fehler;0.0
P0518;11.48;0.12;3.54;Bestanden;Kein Fehler;0.0
P0519;10.96;0.16;2.59;Bestanden;Kein Fehler;0.0
P0520;10.59;0.14;3.13;Bestanden;Kein Fehler;0.0
P0521;10.29;0.10;2.81;Bestanden;Kein Fehler;0.0
P0522;9.71;0.10;2.31;Bestanden;Kein Fehler;0.0
P0523;10.11;0.08;3.23;Bestanden;Kein Fehler;0.0
P0524;10.70;0.03;3.28;Bestanden;Kein Fehler;0.0
P0525;10.40;0.11;2.88;Bestanden;Kein Fehler;0.0
P0526;10.21;0.08;3.01;Bestanden;Kein Fehler;0.0
P0527;10.22;0.10;3.03;Bestanden;Kein Fehler;0.0
P0528;10.57;0.07;2.74;Bestanden;Kein Fehler;0.0
P0529;10.80;0.11;2.34;Bestanden;Kein Fehler;0.0
P0530;10.24;0.15;2.66;Bestanden;Kein Fehler;0.0
P0531;10.25;0.07;3.47;Bestanden;Kein Fehler;0.0
P0532;9.00;0.27;3.80;Ausschuss;Unzureichender Prüfdruck;2965.53
P0533;10.44;0.10;2.42;Bestanden;Kein Fehler;0.0
P0534;10.62;0.05;2.40;Bestanden;Kein Fehler;0.0
P0535;10.12;0.15;2.11;Bestanden;Kein Fehler;0.0
P0536;10.87;0.16;2.07;Bestanden;Kein Fehler;0.0
P0537;10.73;0.10;2.70;Bestanden;Kein Fehler;0.0
P0538;10.04;0.50;3.47;Nacharbeit;Undichtigkeit;400.13
P0539;10.40;0.18;2.93;Bestanden;Kein Fehler;0.0
P0540;10.37;0.18;3.47;Bestanden;Kein Fehler;0.0
P0541;11.31;0.16;3.39;Bestanden;Kein Fehler;0.0
P0542;10.33;0.14;3.03;Bestanden;Kein Fehler;0.0
P0543;10.28;0.07;3.49;Bestanden;Kein Fehler;0.0
P0544;10.67;0.13;3.00;Bestanden;Kein Fehler;0.0
P0545;10.69;0.07;3.06;Bestanden;Kein Fehler;0.0
P0546;10.00;0.08;3.40;Bestanden;Kein Fehler;0.0
P0547;9.67;0.60;2.62;Ausschuss;Undichtigkeit;2341.56
P0548;10.86;0.15;2.59;Bestanden;Kein Fehler;0.0
P0549;9.95;0.16;1.83;Bestanden;Kein Fehler;0.0
P0550;10.38;0.00;3.26;Bestanden;Kein Fehler;0.0
P0551;10.99;0.09;2.38;Bestanden;Kein Fehler;0.0
P0552;10.92;0.16;2.00;Bestanden;Kein Fehler;0.0
P0553;10.08;0.07;3.64;Bestanden;Kein Fehler;0.0
P0554;10.37;0.22;2.80;Bestanden;Kein Fehler;0.0
P0555;10.36;0.09;1.95;Bestanden;Kein Fehler;0.0
P0556;10.61;0.22;2.30;Bestanden;Kein Fehler;0.0
P0557;10.79;0.15;3.18;Bestanden;Kein Fehler;0.0
P0558;10.01;0.09;3.80;Bestanden;Kein Fehler;0.0
P0559;10.44;0.04;2.85;Bestanden;Kein Fehler;0.0
P0560;10.32;0.05;2.41;Bestanden;Kein Fehler;0.0
P0561;10.65;0.18;3.42;Bestanden;Kein Fehler;0.0
P0562;9.98;0.08;2.67;Bestanden;Kein Fehler;0.0
P0563;9.54;0.18;3.39;Nacharbeit;Unzureichender Prüfdruck;275.00
P0564;9.45;0.29;4.14;Nacharbeit;Unzureichender Prüfdruck;316.94
P0565;10.53;0.10;2.96;Bestanden;Kein Fehler;0.0
P0566;10.52;0.16;3.77;Bestanden;Kein Fehler;0.0
P0567;10.46;0.14;2.97;Bestanden;Kein Fehler;0.0
P0568;10.82;0.09;3.00;Bestanden;Kein Fehler;0.0
P0569;10.76;0.20;2.88;Bestanden;Kein Fehler;0.0
P0570;10.07;0.03;2.47;Bestanden;Kein Fehler;0.0
P0571;10.11;0.06;2.33;Bestanden;Kein Fehler;0.0
P0572;10.54;0.15;2.65;Bestanden;Kein Fehler;0.0
P0573;10.77;0.14;2.52;Bestanden;Kein Fehler;0.0
P0574;10.83;0.00;2.29;Bestanden;Kein Fehler;0.0
P0575;10.38;0.52;2.95;Nacharbeit;Undichtigkeit;324.21
P0576;10.47;0.10;2.72;Bestanden;Kein Fehler;0.0
P0577;10.44;0.06;3.49;Bestanden;Kein Fehler;0.0
P0578;10.17;0.05;3.44;Bestanden;Kein Fehler;0.0
P0579;9.78;0.15;3.43;Bestanden;Kein Fehler;0.0
P0580;10.72;0.20;3.11;Bestanden;Kein Fehler;0.0
P0581;10.88;0.16;2.48;Bestanden;Kein Fehler;0.0
P0582;9.99;0.09;3.91;Bestanden;Kein Fehler;0.0
P0583;10.47;0.09;2.66;Bestanden;Kein Fehler;0.0
P0584;9.38;0.17;5.39;Ausschuss;Materialfehler;3101.96
P0585;10.55;0.06;2.70;Bestanden;Kein Fehler;0.0
P0586;11.25;0.06;3.48;Bestanden;Kein Fehler;0.0
P0587;10.68;0.08;3.33;Bestanden;Kein Fehler;0.0
P0588;10.54;0.30;3.28;Nacharbeit;Materialfehler;394.49
P0589;9.72;0.18;3.77;Bestanden;Kein Fehler;0.0
P0590;10.36;0.13;1.62;Bestanden;Kein Fehler;0.0
P0591;10.43;0.19;2.73;Bestanden;Kein Fehler;0.0
P0592;10.34;0.03;2.43;Bestanden;Kein Fehler;0.0
P0593;10.72;0.15;3.55;Bestanden;Kein Fehler;0.0
P0594;10.57;0.11;3.16;Bestanden;Kein Fehler;0.0
P0595;10.47;0.21;1.60;Bestanden;Kein Fehler;0.0
P0596;10.10;0.07;3.31;Bestanden;Kein Fehler;0.0
P0597;10.88;0.03;2.63;Bestanden;Kein Fehler;0.0
P0598;10.48;0.16;2.09;Bestanden;Kein Fehler;0.0
P0599;10.69;0.00;3.26;Bestanden;Kein Fehler;0.0
P0600;10.83;0.16;2.98;Bestanden;Kein Fehler;0.0
