Pumpen_ID;Pumpentyp;Produktionsdatum;Produktionslinie;Schicht;Materialcharge;Lieferant
P0364;KP-400;2025-05-10;Linie 3;Spät;CH-009;Lieferant D
P0365;KP-300;2025-03-06;Linie 1;Spät;CH-007;Lieferant B
P0366;KP-400;2025-06-23;Linie 2;Spät;CH-004;Lieferant B
P0367;KP-100;2025-04-10;Linie 2;Früh;CH-003;Lieferant C
P0368;KP-200;2025-06-04;Linie 2;Spät;CH-005;Lieferant A
P0369;KP-100;2025-03-05;Linie 2;Spät;CH-007;Lieferant A
P0370;KP-300;2025-06-28;Linie 2;Früh;CH-013;Lieferant B
P0371;KP-100;2025-05-27;Linie 2;Früh;CH-014;Lieferant D
P0372;KP-400;2025-03-17;Linie 1;Nacht;CH-001;Lieferant B
P0373;KP-400;2025-04-30;Linie 2;Nacht;CH-006;Lieferant A
P0374;KP-200;2025-02-27;Linie 3;Spät;CH-004;Lieferant E
P0375;KP-200;2025-06-22;Linie 3;Nacht;CH-006;Lieferant B
P0376;KP-100;2025-02-22;Linie 1;Spät;CH-014;Lieferant B
P0377;KP-100;2025-03-27;Linie 3;Früh;CH-011;Lieferant E
P0378;KP-300;2025-01-13;Linie 1;Früh;CH-005;Lieferant B
P0379;KP-300;2025-02-02;Linie 1;Früh;CH-010;Lieferant E
P0380;KP-100;2025-03-23;Linie 1;Nacht;CH-008;Lieferant D
P0381;KP-300;2025-06-26;Linie 3;Spät;CH-006;Lieferant E
P0382;KP-200;2025-05-18;Linie 3;Spät;CH-002;Lieferant A
P0383;KP-200;2025-03-14;Linie 2;Früh;CH-001;Lieferant B
P0384;KP-300;2025-05-31;Linie 3;Spät;CH-014;Lieferant B
P0385;KP-300;2025-02-05;Linie 1;Früh;CH-010;Lieferant B
P0386;KP-300;2025-05-01;Linie 1;Früh;CH-011;Lieferant C
P0387;KP-200;2025-06-10;Linie 1;Spät;CH-005;Lieferant B
P0388;KP-300;2025-04-02;Linie 1;Früh;CH-011;Lieferant B
P0389;KP-200;2025-06-26;Linie 3;Spät;CH-012;Lieferant B
P0390;KP-100;2025-06-07;Linie 2;Nacht;CH-009;Lieferant D
P0391;KP-100;2025-06-02;Linie 1;Spät;CH-008;Lieferant A
P0392;KP-100;2025-01-20;Linie 3;Früh;CH-002;Lieferant D
P0393;KP-200;2025-02-22;Linie 1;Früh;CH-010;Lieferant A
P0394;KP-300;2025-05-29;Linie 2;Spät;CH-014;Lieferant A
P0395;KP-400;2025-01-28;Linie 2;Spät;CH-011;Lieferant A
P0396;KP-300;2025-05-07;Linie 2;Spät;CH-006;Lieferant A
P0397;KP-100;2025-01-04;Linie 3;Spät;CH-003;Lieferant C
P0398;KP-400;2025-02-21;Linie 3;Früh;CH-006;Lieferant E
P0399;KP-300;2025-05-05;Linie 2;Spät;CH-007;Lieferant C
P0400;KP-100;2025-01-25;Linie 2;Früh;CH-010;Lieferant B
P0401;KP-200;2025-01-31;Linie 1;Spät;CH-015;Lieferant E
P0402;KP-100;2025-05-06;Linie 2;Spät;CH-011;Lieferant A
P0403;KP-200;2025-02-02;Linie 3;Früh;CH-001;Lieferant A
P0404;KP-300;2025-06-26;Linie 1;Spät;CH-015;Lieferant C
P0405;KP-300;2025-03-24;Linie 2;Nacht;CH-007;Lieferant B
P0406;KP-200;2025-05-18;Linie 2;Nacht;CH-014;Lieferant D
P0407;KP-100;2025-01-20;Linie 2;Spät;CH-006;Lieferant B
P0408;KP-100;2025-05-08;Linie 1;Spät;CH-010;Lieferant D
P0409;KP-300;2025-06-25;Linie 2;Früh;CH-003;Lieferant A
P0410;KP-300;2025-03-04;Linie 1;Früh;CH-001;Lieferant A
P0411;KP-100;2025-05-05;Linie 2;Spät;CH-012;Lieferant A
P0412;KP-200;2025-05-09;Linie 3;Nacht;CH-010;Lieferant A
P0413;KP-200;2025-04-19;Linie 2;Früh;CH-004;Lieferant D
P0414;KP-200;2025-02-07;Linie 2;Früh;CH-013;Lieferant B
P0415;KP-300;2025-04-03;Linie 1;Spät;CH-012;Lieferant B
P0416;KP-400;2025-04-23;Linie 3;Früh;CH-003;Lieferant D
P0417;KP-300;2025-02-11;Linie 2;Nacht;CH-014;Lieferant D
P0418;KP-100;2025-01-29;Linie 2;Spät;CH-002;Lieferant B
P0419;KP-300;2025-03-14;Linie 1;Spät;CH-013;Lieferant D
P0420;KP-300;2025-02-13;Linie 3;Nacht;CH-012;Lieferant A
P0421;KP-200;2025-03-10;Linie 1;Früh;CH-014;Lieferant E
P0422;KP-100;2025-03-05;Linie 1;Früh;CH-015;Lieferant C
P0423;KP-300;2025-03-02;Linie 1;Früh;CH-006;Lieferant A
P0424;KP-100;2025-05-09;Linie 3;Früh;CH-003;Lieferant A
P0425;KP-400;2025-03-09;Linie 1;Früh;CH-015;Lieferant B
P0426;KP-300;2025-02-16;Linie 3;Früh;CH-004;Lieferant A
P0427;KP-200;2025-02-22;Linie 3;Nacht;CH-002;Lieferant A
P0428;KP-200;2025-01-25;Linie 2;Früh;CH-011;Lieferant D
P0429;KP-300;2025-06-18;Linie 2;Spät;CH-010;Lieferant E
P0430;KP-100;2025-05-21;Linie 2;Früh;CH-002;Lieferant A
P0431;KP-100;2025-04-21;Linie 3;Spät;CH-008;Lieferant A
P0432;KP-100;2025-06-07;Linie 2;Früh;CH-006;Lieferant B
P0433;KP-300;2025-05-03;Linie 1;Spät;CH-013;Lieferant A
P0434;KP-200;2025-03-06;Linie 2;Spät;CH-014;Lieferant D
P0435;KP-300;2025-06-09;Linie 1;Spät;CH-008;Lieferant D
P0436;KP-100;2025-06-27;Linie 1;Früh;CH-008;Lieferant C
P0437;KP-300;2025-01-05;Linie 1;Früh;CH-014;Lieferant A
P0438;KP-300;2025-02-09;Linie 1;Früh;CH-015;Lieferant A
P0439;KP-100;2025-05-29;Linie 3;Früh;CH-008;Lieferant B
P0440;KP-300;2025-03-10;Linie 2;Früh;CH-002;Lieferant B
P0441;KP-100;2025-06-18;Linie 3;Früh;CH-014;Lieferant C
P0442;KP-100;2025-02-03;Linie 1;Spät;CH-008;Lieferant A
P0443;KP-100;2025-01-09;Linie 2;Früh;CH-009;Lieferant D
P0444;KP-200;2025-06-21;Linie 3;Nacht;CH-010;Lieferant D
P0445;KP-100;2025-02-22;Linie 2;Spät;CH-002;Lieferant A
P0446;KP-300;2025-05-02;Linie 2;Früh;CH-004;Lieferant D
P0447;KP-100;2025-05-13;Linie 3;Früh;CH-008;Lieferant B
P0448;KP-300;2025-06-11;Linie 2;Spät;CH-001;Lieferant E
P0449;KP-200;2025-06-29;Linie 3;Nacht;CH-003;Lieferant C
P0450;KP-400;2025-02-02;Linie 1;Spät;CH-012;Lieferant B
P0451;KP-200;2025-04-06;Linie 2;Spät;CH-014;Lieferant D
P0452;KP-300;2025-03-31;Linie 3;Spät;CH-004;Lieferant D
P0453;KP-100;2025-02-03;Linie 2;Früh;CH-007;Lieferant A
P0454;KP-200;2025-02-11;Linie 3;Spät;CH-014;Lieferant E
P0455;KP-400;2025-01-29;Linie 1;Nacht;CH-007;Lieferant C
P0456;KP-200;2025-02-16;Linie 1;Nacht;CH-004;Lieferant D
P0457;KP-200;2025-06-12;Linie 2;Spät;CH-009;Lieferant D
P0458;KP-200;2025-01-23;Linie 3;Nacht;CH-011;Lieferant D
P0459;KP-200;2025-05-09;Linie 1;Spät;CH-008;Lieferant A
P0460;KP-300;2025-01-06;Linie 2;Früh;CH-014;Lieferant A
P0461;KP-300;2025-06-07;Linie 1;Nacht;CH-001;Lieferant C
P0462;KP-100;2025-05-10;Linie 1;Spät;CH-009;Lieferant A
P0463;KP-400;2025-02-02;Linie 2;Früh;CH-013;Lieferant C
P0464;KP-200;2025-06-08;Linie 3;Spät;CH-008;Lieferant A
P0465;KP-200;2025-01-18;Linie 2;Früh;CH-010;Lieferant D
P0466;KP-300;2025-03-11;Linie 1;Früh;CH-008;Lieferant D
P0467;KP-400;2025-05-06;Linie 2;Früh;CH-012;Lieferant D
P0468;KP-300;2025-06-28;Linie 3;Früh;CH-013;Lieferant A
P0469;KP-300;2025-04-03;Linie 2;Nacht;CH-008;Lieferant A
P0470;KP-300;2025-02-02;Linie 2;Spät;CH-010;Lieferant A
P0471;KP-300;2025-04-20;Linie 2;Spät;CH-001;Lieferant D
P0472;KP-300;2025-05-17;Linie 3;Früh;CH-007;Lieferant B
P0473;KP-100;2025-01-08;Linie 1;Früh;CH-002;Lieferant C
P0474;KP-200;2025-04-23;Linie 3;Nacht;CH-010;Lieferant D
P0475;KP-400;2025-01-27;Linie 2;Früh;CH-002;Lieferant C
P0476;KP-200;2025-06-16;Linie 3;Nacht;CH-006;Lieferant C
P0477;KP-100;2025-02-05;Linie 2;Spät;CH-004;Lieferant B
P0478;KP-200;2025-06-18;Linie 1;Früh;CH-010;Lieferant A
P0479;KP-200;2025-06-27;Linie 2;Spät;CH-010;Lieferant E
P0480;KP-100;2025-05-04;Linie 1;Früh;CH-004;Lieferant C
P0481;KP-100;2025-04-03;Linie 1;Früh;CH-013;Lieferant C
P0482;KP-300;2025-06-17;Linie 3;Früh;CH-007;Lieferant C
P0483;KP-400;2025-02-03;Linie 3;Früh;CH-015;Lieferant A
P0484;KP-200;2025-05-11;Linie 1;Spät;CH-014;Lieferant D
P0485;KP-200;2025-05-15;Linie 2;Spät;CH-006;Lieferant B
P0486;KP-200;2025-03-07;Linie 3;Spät;CH-006;Lieferant E
P0487;KP-200;2025-04-24;Linie 3;Früh;CH-003;Lieferant B
P0488;KP-100;2025-03-06;Linie 1;Früh;CH-006;Lieferant A
P0489;KP-100;2025-04-14;Linie 1;Nacht;CH-007;Lieferant D
P0490;KP-100;2025-04-29;Linie 2;Spät;CH-014;Lieferant B
P0491;KP-400;2025-04-01;Linie 1;Spät;CH-011;Lieferant B
P0492;KP-200;2025-04-11;Linie 2;Spät;CH-014;Lieferant C
P0493;KP-100;2025-01-07;Linie 2;Früh;CH-008;Lieferant C
P0494;KP-100;2025-04-10;Linie 1;Spät;CH-002;Lieferant B
P0495;KP-200;2025-04-25;Linie 2;Früh;CH-003;Lieferant A
P0496;KP-400;2025-04-11;Linie 2;Spät;CH-005;Lieferant D
P0497;KP-200;2025-06-10;Linie 3;Früh;CH-005;Lieferant D
P0498;KP-300;2025-03-06;Linie 2;Spät;CH-003;Lieferant B
P0499;KP-100;2025-05-05;Linie 2;Früh;CH-008;Lieferant C
P0500;KP-100;2025-01-03;Linie 1;Spät;CH-011;Lieferant A
P0501;KP-100;2025-01-13;Linie 2;Früh;CH-015;Lieferant C
P0502;KP-100;2025-02-28;Linie 2;Spät;CH-001;Lieferant B
P0503;KP-200;2025-06-18;Linie 2;Früh;CH-008;Lieferant A
P0504;KP-300;2025-02-02;Linie 1;Nacht;CH-009;Lieferant C
P0505;KP-100;2025-02-05;Linie 3;Früh;CH-014;Lieferant D
P0506;KP-100;2025-02-09;Linie 1;Früh;CH-008;Lieferant A
P0507;KP-400;2025-01-03;Linie 3;Früh;CH-005;Lieferant A
P0508;KP-300;2025-06-02;Linie 2;Nacht;CH-002;Lieferant A
P0509;KP-200;2025-06-05;Linie 1;Früh;CH-004;Lieferant B
P0510;KP-200;2025-05-02;Linie 2;Spät;CH-006;Lieferant C
P0511;KP-300;2025-05-08;Linie 3;Spät;CH-008;Lieferant C
P0512;KP-200;2025-05-19;Linie 1;Früh;CH-011;Lieferant B
P0513;KP-400;2025-06-06;Linie 1;Spät;CH-006;Lieferant A
P0514;KP-300;2025-02-28;Linie 3;Früh;CH-014;Lieferant C
P0515;KP-300;2025-04-18;Linie 1;Nacht;CH-008;Lieferant C
P0516;KP-100;2025-05-05;Linie 2;Nacht;CH-009;Lieferant D
P0517;KP-100;2025-05-06;Linie 1;Spät;CH-006;Lieferant E
P0518;KP-300;2025-02-11;Linie 2;Spät;CH-002;Lieferant A
P0519;KP-300;2025-05-02;Linie 3;Spät;CH-003;Lieferant D
P0520;KP-200;2025-02-09;Linie 2;Nacht;CH-011;Lieferant C
P0521;KP-400;2025-05-22;Linie 1;Früh;CH-004;Lieferant A
P0522;KP-300;2025-03-23;Linie 1;Spät;CH-014;Lieferant D
P0523;KP-400;2025-01-23;Linie 3;Früh;CH-002;Lieferant A
P0524;KP-200;2025-05-30;Linie 1;Spät;CH-011;Lieferant C
P0525;KP-200;2025-05-18;Linie 3;Früh;CH-012;Lieferant A
P0526;KP-200;2025-05-29;Linie 3;Nacht;CH-012;Lieferant D
P0527;KP-300;2025-04-13;Linie 1;Spät;CH-013;Lieferant A
P0528;KP-100;2025-05-31;Linie 2;Früh;CH-008;Lieferant E
P0529;KP-400;2025-04-19;Linie 1;Früh;CH-015;Lieferant B
P0530;KP-100;2025-06-30;Linie 1;Spät;CH-009;Lieferant E
P0531;KP-400;2025-06-06;Linie 3;Nacht;CH-002;Lieferant A
P0532;KP-400;2025-02-09;Linie 2;Früh;CH-008;Lieferant A
P0533;KP-300;2025-05-11;Linie 2;Früh;CH-003;Lieferant C
P0534;KP-200;2025-06-06;Linie 2;Nacht;CH-006;Lieferant D
P0535;KP-300;2025-02-02;Linie 1;Spät;CH-009;Lieferant A
P0536;KP-400;2025-04-06;Linie 1;Früh;CH-004;Lieferant E
P0537;KP-300;2025-05-01;Linie 1;Spät;CH-006;Lieferant B
P0538;KP-300;2025-02-21;Linie 2;Spät;CH-003;Lieferant B
P0539;KP-200;2025-01-21;Linie 2;Früh;CH-013;Lieferant C
P0540;KP-200;2025-06-12;Linie 2;Früh;CH-007;Lieferant E
P0541;KP-300;2025-03-14;Linie 1;Spät;CH-015;Lieferant C
P0542;KP-200;2025-01-05;Linie 2;Früh;CH-011;Lieferant B
P0543;KP-100;2025-02-02;Linie 1;Nacht;CH-002;Lieferant C
P0544;KP-300;2025-05-18;Linie 1;Spät;CH-015;Lieferant A
P0545;KP-300;2025-03-09;Linie 1;Spät;CH-006;Lieferant B
P0546;KP-300;2025-03-20;Linie 3;Spät;CH-008;Lieferant D
P0547;KP-200;2025-04-12;Linie 2;Früh;CH-011;Lieferant E
P0548;KP-100;2025-04-08;Linie 3;Früh;CH-013;Lieferant B
P0549;KP-100;2025-03-16;Linie 1;Nacht;CH-006;Lieferant B
P0550;KP-100;2025-01-10;Linie 1;Nacht;CH-006;Lieferant D
P0551;KP-300;2025-06-23;Linie 2;Früh;CH-005;Lieferant D
P0552;KP-200;2025-01-23;Linie 3;Nacht;CH-011;Lieferant C
P0553;KP-200;2025-04-11;Linie 1;Früh;CH-014;Lieferant D
P0554;KP-300;2025-02-12;Linie 2;Früh;CH-014;Lieferant D
P0555;KP-100;2025-02-10;Linie 1;Spät;CH-008;Lieferant B
P0556;KP-100;2025-05-31;Linie 1;Nacht;CH-010;Lieferant E
P0557;KP-100;2025-01-13;Linie 2;Früh;CH-001;Lieferant C
P0558;KP-100;2025-02-10;Linie 2;Nacht;CH-007;Lieferant E
P0559;KP-300;2025-03-26;Linie 1;Nacht;CH-013;Lieferant C
P0560;KP-200;2025-01-15;Linie 2;Früh;CH-015;Lieferant B
P0561;KP-200;2025-02-07;Linie 2;Früh;CH-005;Lieferant D
P0562;KP-200;2025-06-27;Linie 1;Früh;CH-001;Lieferant B
P0563;KP-200;2025-04-03;Linie 1;Früh;CH-005;Lieferant B
P0564;KP-200;2025-03-27;Linie 3;Spät;CH-012;Lieferant C
P0565;KP-200;2025-04-13;Linie 2;Spät;CH-012;Lieferant E
P0566;KP-300;2025-03-01;Linie 3;Nacht;CH-007;Lieferant A
P0567;KP-300;2025-05-06;Linie 2;Früh;CH-004;Lieferant A
P0568;KP-100;2025-04-11;Linie 1;Spät;CH-007;Lieferant E
P0569;KP-400;2025-03-13;Linie 3;Spät;CH-011;Lieferant B
P0570;KP-100;2025-03-15;Linie 2;Früh;CH-009;Lieferant C
P0571;KP-100;2025-05-27;Linie 3;Früh;CH-008;Lieferant C
P0572;KP-300;2025-06-07;Linie 1;Spät;CH-003;Lieferant D
P0573;KP-100;2025-01-31;Linie 1;Nacht;CH-004;Lieferant B
P0574;KP-200;2025-05-27;Linie 3;Spät;CH-015;Lieferant D
P0575;KP-200;2025-01-09;Linie 3;Früh;CH-001;Lieferant D
P0576;KP-200;2025-01-06;Linie 3;Früh;CH-015;Lieferant A
P0577;KP-200;2025-03-26;Linie 3;Früh;CH-011;Lieferant A
P0578;KP-100;2025-06-19;Linie 2;Nacht;CH-002;Lieferant B
P0579;KP-100;2025-01-18;Linie 2;Früh;CH-010;Lieferant E
P0580;KP-100;2025-04-28;Linie 1;Spät;CH-005;Lieferant A
P0581;KP-300;2025-01-03;Linie 3;Spät;CH-010;Lieferant A
P0582;KP-300;2025-01-21;Linie 2;Früh;CH-012;Lieferant D
P0583;KP-100;2025-03-05;Linie 2;Früh;CH-006;Lieferant C
P0584;KP-400;2025-05-21;Linie 2;Früh;CH-011;Lieferant A
P0585;KP-100;2025-03-05;Linie 1;Spät;CH-011;Lieferant B
P0586;KP-200;2025-05-09;Linie 2;Spät;CH-003;Lieferant B
P0587;KP-200;2025-04-22;Linie 3;Nacht;CH-005;Lieferant B
P0588;KP-200;2025-01-27;Linie 1;Früh;CH-009;Lieferant B
P0589;KP-200;2025-01-25;Linie 2;Spät;CH-008;Lieferant A
P0590;KP-300;2025-03-24;Linie 1;Spät;CH-006;Lieferant A
P0591;KP-200;2025-05-25;Linie 2;Spät;CH-011;Lieferant A
P0592;KP-400;2025-06-26;Linie 2;Spät;CH-005;Lieferant D
P0593;KP-100;2025-01-13;Linie 1;Spät;CH-013;Lieferant B
P0594;KP-100;2025-01-11;Linie 1;Früh;CH-015;Lieferant A
P0595;KP-400;2025-03-28;Linie 2;Früh;CH-015;Lieferant B
P0596;KP-100;2025-02-06;Linie 2;Spät;CH-003;Lieferant B
P0597;KP-300;2025-06-16;Linie 2;Spät;CH-012;Lieferant D
P0598;KP-100;2025-04-19;Linie 3;Spät;CH-007;Lieferant D
P0599;KP-400;2025-03-16;Linie 3;Nacht;CH-014;Lieferant B
P0600;KP-400;2025-06-19;Linie 1;Nacht;CH-009;Lieferant C
